"precipitation","temp_mean","PM10","PM2.5","humidity","sunshine_rate","wind_mean","rental"
1.8,14.7,53,33,57.8,73.6,2.1,67452
1.8,13.8,14,7,57.8,91.5,2.1,78874
1.7,12.4,32,20,65.1,76.2,1.6,78675
1.7,11,48,32,63.6,71.4,1.8,74812
1.7,9.2,44,24,42.8,91.3,2.7,68315
0.8,6.8,44,18,31.4,93.3,1.9,65110
1.6,9.5,41,22,41.4,93.3,1.6,60693
11.8,10,39,26,59.6,32,2.1,40503
1.1,11.2,23,14,71.6,69.9,2.4,58957
7.5,7.2,34,20,72.3,0,2.8,39198
0.9,1.3,19,6,30.6,95.1,2.9,45095
18.8,5.6,22,13,87.4,1,2,15069
5.4,6.8,31,21,81.3,54.9,1.6,45493
21.1,8.3,26,16,79.4,0,3.1,11303
14.7,4.6,71,12,59.8,79.2,3.9,37496
0,0.2,28,9,48,93.1,2.8,40356
0.9,0.5,20,11,35.5,93.1,1.8,42026
1.1,4.2,34,19,37.4,57,1.9,47091
0.8,9.7,40,21,34.1,90,2.1,56700
1.7,12.1,33,19,52,80,1.8,54283
3.8,9.8,32,20,74.6,18.2,2.2,24304
1.7,1.9,24,15,62.1,58.6,2.7,42677
1.7,6.6,25,17,64,79.8,2,52464
1.7,3.1,33,21,50.8,83.8,2.7,46248
1.7,3.5,33,20,52.4,91.8,2,46983
1.7,1.5,43,30,42.8,94.9,2,44689
1.7,4.1,44,34,42.6,54.1,1.7,38366
3.3,4.6,38,30,79.4,0,1.6,9680
1.8,-0.1,21,15,48,89.8,3.1,34397
0.6,0.5,26,17,61.3,31.6,1.6,33580
0,2,27,18,41.6,89.7,1.8,38576
0.8,-4.4,19,13,31.9,94.8,3.2,29277
0.8,-5.9,29,20,34.5,95.9,1.7,26723
0.1,-2.4,45,36,65,11.3,1.7,23013
1.7,-0.9,55,48,65.1,91.8,1.4,22597
0,3.2,62,54,56.8,14.4,2.5,34140
1.7,8.1,97,80,82.3,20.6,1.2,33275
0.2,6.3,79,60,62,54.2,3.4,34049
1.8,-0.7,21,18,45.4,94.8,1.8,33704
1,2.1,28,20,53.6,35.4,2,34258
0,2.7,38,29,58.3,86.5,2.3,27424
1.7,5.3,34,28,52.5,76,2,29692
1.8,7.8,35,25,58.9,68.8,1.9,41750
9.8,7.7,27,21,81.4,0,2.3,25644
1.7,0.8,40,30,64.6,87.5,2.5,34899
0,-0.8,29,20,47.8,88.5,2.4,32972
0,-1.1,30,22,45.3,92.7,2.3,32521
0.6,-1.2,37,26,68.1,19.8,1.7,20302
0.3,4.1,60,45,63.4,54.2,1.7,24430
2.9,3.4,53,42,80.4,25,2,29028
1.7,0.8,77,59,67.9,83.3,1.4,33334
1.8,2,55,42,60.8,34.4,1,22428
0.3,2,50,35,59,13.5,2.4,25007
1.8,-1.7,36,27,45.4,93.8,2.1,29243
1.8,1.1,44,30,47.6,60.4,2,26046
1.4,3.8,46,31,52.5,0,2.9,18701
0.4,2.7,40,29,70.3,0,2.9,22952
0,-7.9,27,19,39.3,94.8,3.1,18436
0.1,-2.2,34,24,64.4,8.3,0.6,16236
1.6,1,59,45,65.4,0,1.2,28890
1.8,-0.1,66,48,56.9,90.7,1.7,30809
1.7,1.2,56,41,50.8,81.4,1.9,25709
1.8,1.3,53,39,45.6,73.2,1.1,23206
1.8,3.1,41,31,65.4,0,3.1,15381
46.3,6.3,10,8,95,0,4,1920
11.6,2.4,26,21,86.1,0,3.3,21522
1.7,-1.2,53,45,65.3,89.7,2.3,28711
1.7,-0.6,70,59,62.9,76.5,1.5,29395
1.8,-0.1,54,44,60.9,82.7,1.9,23246
1.8,-1,50,39,61.5,87.8,2.4,19842
1.7,-2.9,27,20,51,82.7,2.3,26786
1.8,-2.3,30,23,45.3,86.7,1.6,28435
1.8,-2.7,37,27,44.8,92.9,1.9,28391
1.7,-1.7,44,32,43,83.8,1.6,29026
1.7,-0.6,58,40,43.9,76.8,1.5,29626
1.8,0.3,64,44,48.1,91.9,1.8,24635
0.6,1.9,61,46,62.8,48.5,2.2,17682
1.8,0.7,56,34,46.8,87,2.5,28611
1.1,-0.4,42,27,36.9,92,1.4,30618
1,3,43,30,36,37,1.7,33011
1.8,4.6,62,44,49.3,88,2,34466
1.7,2.8,72,52,63,87.1,1.7,19230
1.7,4.3,50,38,63.1,35.6,1.5,15233
1.8,5.5,28,20,56.3,72.3,2.7,22685
0.1,5.9,11,6,48.1,0,4.6,16836
0,6.8,13,7,49.4,0,2.6,32098
1.8,6,17,9,46.4,30.4,2.1,37990
1.8,5.2,18,12,47,53.4,1.8,38079
0,3.9,25,17,59.6,59.2,2.3,35857
1.7,2.6,68,53,66.6,51.5,1.7,27151
1.7,1.5,74,58,52.3,46.6,1.8,22384
0,-0.4,26,18,43.6,92.3,3.1,29681
1.7,-1.6,25,18,50.3,61.5,2.8,23006
1.1,-8.3,23,13,37.3,92.4,3.3,20311
1,-6.4,37,22,36.4,92.4,1.9,22401
0,-1.7,35,25,45.1,58.1,2,26540
0,-0.1,42,33,48.1,90.6,3,22046
0,-0.5,37,26,51.1,90.6,2,21099
0,4,50,35,49.4,91.5,1.7,33956
1.1,6.8,55,36,37,71,1.6,40563
6.7,7.4,49,34,73.4,0,2.2,10698
10.3,6.5,76,54,84.8,12.1,1.7,34375
2,8.1,86,62,70.3,80.6,1.2,41229
2,9.8,65,49,63,46.3,2.7,29837
13.4,-1.4,28,19,81.1,14.8,4,6798
1,-5.9,41,20,64.3,29.4,3.4,13777
1.7,-4.1,24,17,44,92.7,2.3,19773
1.8,1,33,24,56.8,67.3,1.5,32721
1.7,4.6,60,45,62.6,85.5,1.7,36027
4.2,6.7,79,62,66.3,10,2.2,29779
1.7,7,35,20,51.8,69.4,1.6,36094
16.6,6.7,23,14,73.5,5.4,4.2,15939
0,6.4,18,11,59.6,42.9,2.1,35773
1.8,6.1,13,8,54,92,2,38526
3.9,4.5,25,18,79.4,0,1.4,12644
0.5,7.7,24,17,68.6,84.1,1.7,35697
0.2,5.8,45,32,71.8,1.8,2,24431
0,3.4,39,30,55.3,87.7,2.7,36641
1.8,4.8,46,35,57,35.7,2.6,39447
0,2.2,47,37,53.4,57.4,3.7,31269
1.8,1.4,37,30,47.5,94.8,2.5,35851
1.8,3.7,39,27,46.8,91.4,1.6,40897
1.4,7,53,40,39.5,50.9,2,42379
1.7,9.3,52,40,43.8,91.5,1.6,54245
1.1,11.1,53,39,37.6,60.7,1.8,53020
11.8,6.4,41,32,78.4,0,2.8,10606
1.6,3.8,32,15,41.8,94.9,3.3,45245
1.8,6.8,33,14,49.8,68.6,2.5,50094
0.5,4.9,30,13,41,81.5,3.3,43554
1.8,3.6,35,19,48.1,84,3,42569
1.8,4,40,19,48.3,71.4,3.6,33215
1.7,3.6,23,14,42.4,94.2,2.8,42441
1.7,6.6,46,22,65.8,35,2.1,47241
1.8,10,64,38,45.8,91.7,1.8,62119
0,9.1,56,26,49,63.6,4.8,24256
1.4,8.8,38,10,39.6,90.9,3.1,53839
1.8,12.8,53,17,56.5,50,2,63759
1.1,11,41,17,37.5,95.1,3,64436
1.2,10.6,46,28,37.9,93.5,1.9,63686
0.9,11.4,55,35,35,93.5,1.8,69998
0.8,12.5,47,31,33.6,74.2,1.9,73460
1.8,14.8,51,32,53.8,34.7,1.9,47633
2,11.9,41,21,56.4,59.7,3.3,60183
7.5,7.7,29,8,17.9,72.8,3.2,64677
0.9,8.7,38,17,30.6,92.8,2,68430
1.2,10.2,51,28,38.4,93.6,1.8,69293
0.8,11.9,47,27,34.5,79.4,2,74621
0.9,11.3,64,30,35.6,68.3,3.7,70258
1.6,9.3,40,27,41.4,83.5,2.3,72129
1.7,10,55,32,53.8,84.3,2.7,74856
1,8.9,67,29,36.4,81.3,3.4,66405
1.1,7.2,43,23,29.5,94.5,2.8,64111
1.2,9.3,54,24,38.3,89.1,2.4,68414
1.8,10.6,55,26,56.6,69.8,2.5,73685
2.5,9.4,40,20,25.5,95.3,3.5,72863
1.8,8.9,44,25,44.6,91.5,2.8,73382
1.7,10.7,40,25,52.6,70.8,2.4,75021
1.7,9.9,38,23,63.8,67.7,2.5,75637
1.8,9.9,31,21,58.6,63.4,3.8,63335
1.4,12.4,20,12,39.4,93.1,3.1,77604
1.8,13,49,29,46.8,92.4,2.4,83798
1.4,13.2,60,38,39.8,75.8,2.2,89789
1.4,16,50,30,39.9,80.3,2.3,83970
6.5,12.5,40,21,77.8,2.3,2.4,35656
1.7,13.5,26,13,67.9,78.2,2.6,92829
10.3,12.3,25,16,75.8,2.3,2.7,29375
0.1,10,14,9,73,9.7,3.3,56129
1.8,7.4,32,11,49,75.4,4.4,58746
0,6,77,11,46.8,39.6,4,51337
1.8,7.9,41,13,47.8,87.4,3.7,64765
1.8,9.9,37,13,55.6,88.9,3.9,72883
1.8,13.1,55,22,54.4,62.5,3.9,78419
1.7,12.3,28,14,43.1,91.9,3.2,82600
1.8,12.9,31,17,49.8,71.3,2.8,77149
1.8,13.9,34,19,50,92,3,86541
2.6,20.2,52,31,73.6,44.2,2.7,93249
0,20.3,48,28,79.6,1.4,2.3,88508
0,21.8,28,17,68.8,42.8,2,89287
1.7,20.2,32,17,63.9,72.7,2.7,93579
1.7,16,33,17,67.9,23.7,1.9,88219
1.8,19.4,30,15,50,92.1,2.1,88561
0.8,20.7,24,12,32.5,62.1,2.5,90645
2.3,19.9,25,12,32.8,53.6,2.4,63474
24.4,14.2,14,7,94.4,0,3.6,7600
1.3,14.4,27,18,88.6,2.8,2.5,65932
3.4,16.5,97,24,61,51.1,3,76042
0.7,14.3,39,12,69.4,35.5,2.9,78200
1.8,16.1,33,13,47.3,92.2,2.8,89183
0.9,19.3,37,14,35.4,46.5,2,89149
12,16.1,38,12,81.4,0,3,13782
2.5,16.7,25,13,90.3,4.2,1.6,64549
0,19.1,40,26,80.1,27.3,1.7,89449
29.8,19.1,41,25,79.4,22.4,2.4,36761
19,13,18,8,73.6,21,3.2,55556
0,14.4,8,4,60.4,31.5,1.9,88257
1.8,17.4,20,11,56.1,65.3,2.1,93930
0,18.5,42,28,68.5,4.9,1.9,89317
0,20.1,44,30,66.1,47.2,2.2,101256
14.5,17.1,25,17,84.8,7.6,2.9,80357
5.1,16.6,34,23,81,17.2,2.1,92531
1.5,16.2,39,24,81.9,33.1,2.1,68498
1.8,17.4,22,14,68.5,91,2.6,101949
0,18.7,30,20,62.8,57.9,1.9,99792
1.6,20.7,33,21,65.6,87.6,2,103999
1.8,22.6,37,25,57.3,77.4,1.9,105172
1,21.2,40,29,63,34.2,2.3,93547
0.4,19.7,18,10,64.3,78.8,3.4,99930
2,17.9,23,13,71,1.4,2.2,79833
2.5,22,46,24,73.3,65.1,2.4,103887
0.2,21.9,52,25,81.1,32.2,2.7,97656
1.9,23,43,23,69.4,59.9,1.8,107343
1.7,24.6,49,30,63.6,58.5,2,105033
1.9,22.7,48,28,69.4,62.6,2.3,101848
1.7,25,42,25,63.6,76.9,2.1,103582
1.7,26.7,52,25,51.6,87.8,2.3,102084
6.2,25.8,48,26,63.8,35.4,2,58133
0,26.1,31,19,68.3,54.4,2.2,100031
1.8,24.7,47,22,68.6,3.4,1.7,109210
0,26.9,57,28,52.8,66,1.9,90396
1.1,24,38,22,70.6,54.7,2.9,94406
1.7,23,26,15,62.3,68.2,2.8,108320
1.7,24.4,53,37,63,50.7,2.2,106519
1.8,24.3,51,33,58.6,39.9,2,107723
1.8,23.4,35,21,61.4,0.7,1.6,110377
0.1,24.7,24,15,61.4,40.5,2.1,109124
1.7,24.9,38,24,62.6,79.1,2.1,102333
1.8,26.1,33,22,59.5,91.2,2,95453
1.8,28.6,40,24,50.5,89.9,2,98394
0,27.3,40,24,53.5,34.5,1.9,103214
37.6,22.3,34,21,83.5,0,2.7,19756
13.3,21.6,13,8,91,0.7,2.2,46415
2.1,21.8,23,14,82.1,20.9,3.2,96150
0,24.1,25,17,70.4,50,2,107001
2,25.2,30,19,70.5,83.8,2.4,98568
11.9,23.8,35,24,77,11.6,2.4,70053
64.7,20.1,9,5,83,0,4,38086
0,21.1,19,11,79.3,1.4,1.9,105196
2.8,24.2,51,34,74.5,36.7,1.9,107842
0.1,25.5,52,32,63.5,65.3,2.6,102753
1.6,24.2,24,15,63.9,64.6,2.1,98488
1.8,23.8,29,22,68.6,43.5,1.9,104664
1.7,25.6,24,18,66.6,34,2.1,106825
0,24.1,17,11,75.5,27.4,2.5,91407
2.3,25.5,32,20,71.9,68.5,2,105876
1.7,27.5,42,29,64.6,52.7,1.7,102828
2.2,24.5,16,11,75,21.2,2.8,90880
1.7,25.8,8,4,62.6,45.2,2.6,103657
2.9,23.5,13,9,71.9,0,2.4,57367
47.6,18.7,9,6,94.8,0,4,4859
11.5,20.3,7,3,79.4,0.7,2.8,85486
1.7,23.4,13,6,63.1,64.1,2,106949
2.1,25,29,18,70.9,70.3,1.8,102741
0,26,38,25,72,51.7,1.9,99949
2.2,26.1,43,30,71.6,29.7,1.6,98309
29.1,24,21,15,81.6,0,2.7,60804
3.6,23.8,18,11,86.3,0,3.7,72291
0,25,29,21,77,27.8,1.6,100825
11.5,23.7,24,16,89.3,0,1.6,46448
103.1,21.1,20,12,95.5,0,3.6,10739
2.9,22.5,6,3,74.3,7,4.6,76995
0,24.3,5,2,69.3,13.3,3.1,102498
0,25.4,8,5,69.3,39.2,2,94802
2.2,24.3,12,8,86.4,0,2.2,52922
0.4,24.4,13,7,84.8,0,2,68214
50.1,23.7,12,6,95.8,0,2,31724
0.1,25.3,21,14,85.5,21.3,2.1,92468
1.5,26.2,24,17,81.9,35.5,2,95705
39.1,25.3,15,9,90.9,0,1.7,34998
31.4,24.9,13,6,96.3,0,2.3,11491
102.6,25,16,11,96.3,0,3,17575
3.9,27,40,26,89.3,2.9,3.5,49378
18.5,26.5,37,23,92.1,0.7,1.9,28751
75.7,24.1,16,9,92.8,1.4,3.3,51456
0,24.3,29,19,85.3,0,1.8,78071
19.1,24.2,15,9,89.5,12.9,2.3,40020
50.3,24.9,9,5,95.4,0,2.6,12384
44.6,26.5,13,7,91.6,1.4,2,23519
97,24.6,10,7,92.5,3.6,2.2,50974
8.6,27.2,22,14,83.9,15.3,1.9,78261
6.5,28,26,13,82.4,1.5,2.5,79353
0.4,27.1,32,19,86.1,0,3.5,72875
69,26.1,41,28,96,0,1.9,26267
6.7,27.4,22,15,82.6,17.6,3,66011
3.6,28.2,26,18,77.9,43,2.3,73368
3.2,27.5,34,24,76.3,58.5,1.6,82202
3.3,27.1,43,31,76.8,69.6,2,84665
3.1,27.7,39,28,76,23.1,1.7,85420
2.5,26.6,29,22,83.1,6,1.6,78701
42.6,24.3,17,11,87.4,4.5,2.1,40126
3.8,25.3,13,8,78.4,51.1,1.9,80594
2.2,27.8,25,17,71.6,66.2,2.2,90297
1.9,29.9,32,25,69.5,57.6,2.1,87894
0.6,30.2,28,18,68.3,56.8,3.4,40169
8.7,27.1,21,12,84.6,3.8,3.6,32745
13.6,27.3,23,16,89.1,15.3,1.6,62045
13.6,26.8,17,11,90.1,13,1.3,33797
42.5,26.8,14,11,88.8,18.3,2.1,52904
0,26.4,13,4,77.9,14.6,2.8,87662
0,26.6,20,8,72.4,7.7,1.9,87892
33.3,24.3,16,9,91.3,0,2.3,13744
29.8,22.7,15,6,82,21.7,4.8,71524
1.7,23.3,24,11,63.9,78.3,2.7,115059
1.7,23.3,30,20,66.6,25.8,2,113253
6.4,21.7,26,16,80,0,2.7,54125
61,19.2,8,4,93.5,0,4.2,3144
0,23.4,24,12,71.5,74.8,4.2,104606
1.3,21.1,30,20,83.4,24.4,2.1,75412
3.9,22.8,26,17,75.8,71.4,2,107150
1.2,22.4,28,18,72.6,35.7,2.8,61474
5.7,20.2,12,7,83.8,0,2,44703
2,21.5,9,4,70.4,78.4,1.9,118921
0,21.3,21,14,79.3,45.6,1.8,106465
3.2,23,35,23,76.4,41.1,1.6,111912
0.3,22.5,26,17,79.9,2.4,1.9,88745
2,21.3,22,10,70.3,5.6,2.1,110088
1.7,21.5,22,8,62,79.7,2.8,118363
0.3,21.2,21,9,59.3,78.9,2.2,117633
1.8,19.7,18,10,57.6,93.4,2,110798
1.8,19.1,23,14,56.1,78.7,1.7,108369
1.8,20.2,19,10,55.3,87.7,2.8,112619
1.8,19.2,14,4,59.9,59.5,3.3,111343
1.8,20.6,14,4,59.6,66.1,3.7,111994
1.7,20.1,16,6,64.1,28.9,2.5,114720
1.7,19.3,17,6,62.5,66.7,2.4,115111
1.7,20.4,15,7,63.3,81.7,2,109610
1.7,20.7,25,14,66,88.2,2,107714
1.7,19.6,28,17,67.6,52.9,1.9,113823
38.3,19.6,30,19,78,41.5,1.7,71676
2.8,18.8,15,10,74.9,21.2,2.1,82099
0,19.2,23,15,79.6,16.1,2.3,75275
0,19.9,32,20,72.5,15.4,1.6,97726
0,16.6,23,13,65.1,36.8,2.8,86091
1.8,13.3,21,9,57.3,90.5,2.5,93156
1.8,14.2,20,10,55.9,93.1,2,100369
1.8,16,25,12,48.9,76.7,1.9,103348
1.7,17.2,18,9,53,93.9,3.1,105509
1.7,17.2,18,9,53.4,92.2,3,104087
1.8,16.9,21,10,60.1,66.7,2,104678
1.8,16.9,22,13,68.5,43,1.8,95405
1.8,16.2,40,21,68.6,65.8,2.2,97721
1.7,13.6,28,12,52.3,62.8,2.2,97160
1.8,12.8,39,15,47,51.3,2.4,92998
1.6,11.7,35,12,41.8,63.7,1.5,92555
1.7,11.8,41,22,64.3,0,1.5,92609
1.7,13.1,35,20,64.3,90.2,1.8,94840
1.6,13.6,29,16,65.5,87.4,2,89401
2.7,15.1,60,32,74.4,88.3,1.7,95110
1.7,15.2,67,39,67.1,90.1,1.6,98577
1.9,14.1,44,25,69.4,0.9,1.9,96566
0,13.5,82,36,66,49.1,2.8,92100
1.7,8.6,29,11,51.5,90.8,3,84672
1.8,8.7,28,12,47.6,90.8,2.5,77452
1.7,11.8,28,15,62.5,80.7,1.7,80497
2.2,12.9,53,28,71.6,85.2,1.6,92374
2.7,14,79,46,74.1,76.9,1.8,95411
1.7,13.8,46,22,52.1,85.2,2.5,95033
1.5,10.8,39,15,40.3,84.1,2,92267
1.7,11.9,47,21,42.9,90.7,1.5,97088
1.8,13.6,29,15,60.3,54.2,2.6,89444
13.6,13.7,41,23,84.3,0,2.3,32925
1.7,10.8,50,17,58.3,90.6,2.3,86705
0.5,5.1,24,9,47.5,86.8,3.5,69439
1.7,4.9,34,13,43.9,91.4,2.3,74159
1.8,9.6,41,17,61.5,80,1.8,85090
1.7,13.5,47,25,63.3,2.9,1.7,91815
0.1,14.6,89,38,68.8,67.3,2.7,84151
1.7,8.5,67,16,43.8,91.3,3.1,62244
1.5,5.5,28,9,40.9,58.3,1.8,73482
1.8,7.7,28,11,56.1,93.2,2.2,81965
1.7,9.3,43,22,53.5,93.2,1.6,86595
1.8,10.4,66,40,56.9,91.3,1.7,88193
2.2,12.2,73,44,71.5,53.9,1.6,90754
1.7,12.5,67,42,66.9,78.4,1.7,81553
2.9,11.1,72,48,75,66.7,1.7,69098
2,12.4,70,44,70.1,83.2,1.6,87583
0.1,15.9,62,40,67.5,12.9,2.3,81258
12.2,16.6,45,29,91.4,0,2.6,44452
86.9,13.6,19,11,90.5,0,4.2,34590
0,2.8,23,14,74.3,0,3.2,60332
0.2,6.5,28,20,67.9,66,2.1,60290
4.8,5.6,28,20,80.5,4,2.5,34828
1.8,1.7,27,17,61.4,92,2.3,58766
1.8,2.9,28,17,54.5,13.1,1.8,61865
1.7,4.6,38,24,64.1,46.5,1.5,64921
1.7,5.6,58,38,66.5,66.7,1.7,64297
0,4.1,45,30,61.6,50.5,2.7,58092
1.8,-0.1,24,14,50,91.8,2.8,38492
1.8,-0.6,26,16,59.6,15.3,2.2,32211
1.8,-0.2,28,18,57.8,92.9,1.9,49925
1.8,1.1,32,21,44.5,74.5,1.9,53885
1.6,2.4,34,20,41.4,34.7,1.8,55611
1.8,0.7,26,17,47.1,93.8,2.7,51533
1.7,-0.6,30,19,53.8,92.8,1.8,50915
1.7,2.1,36,23,63.1,52.6,1.7,42953
1.7,4.5,45,33,66.9,61.9,1.8,40616
1.8,3.4,56,41,57.5,76.3,2.6,49809
1.8,-0.5,23,14,50,89.7,2,47614
1.8,1.5,39,25,55.1,60.8,1.5,50476
0,5.8,63,44,69.9,11.5,1.7,53421
3.4,5.3,109,75,77.1,25,1.8,53536
1.7,2.3,56,35,51.3,89.6,2.1,42146
2.9,-1.1,36,25,74.9,11.5,2.9,14362
1.8,-7.7,23,12,49.1,92.7,3.4,28030
1.7,-8.3,19,11,43,93.8,2.8,28028
1.7,-8.3,22,13,43.9,93.8,2.6,27678
0,-4.9,30,20,47,93.8,1.7,32315
0.2,-2.1,36,24,57,57.3,3,30195
1.8,-5.1,27,14,45.1,93.8,2.4,24130
1.8,-3.7,27,16,50.4,94.8,2,23442
1.7,-1,42,29,64.1,91.7,1.6,37286
1.7,2,56,39,67.6,54.2,2,42486
0,4.5,72,51,76.6,17.7,2.3,42218
1.8,2.6,67,39,61.5,82.3,2.9,41102
1.7,-0.8,30,16,51.9,93.8,2.1,28600
1.7,2.2,58,31,65.8,85.4,1.8,37137
0,5.8,70,42,62.9,61.5,1.8,37103
1.3,6.7,66,44,72.1,83.3,1.4,46912
0.2,0.1,69,46,70.8,0,2.9,35747
1.8,-10.9,39,15,55.5,86.5,4.1,22488
0,-8.9,28,12,53.9,62.5,2.4,24535
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
